Enunciados:,Resposta:
Um cliente de uma casa de câmbio deseja converter uma certa quantia de reais para dólares. Faça um programa que atenda a essa solicitação considerando a cotação atual.,"def converter_moedas(reais, cotacao_dolar):
  """"""Converte uma quantidade de reais para dólares.

  Args:
    reais: A quantidade de reais a ser convertida.
    cotacao_dolar: A cotação do dólar em relação ao real.

  Returns:
    O valor convertido em dólares.
  """"""

  dolares = reais / cotacao_dolar
  return dolares

# Obtendo os dados do usuário
reais = float(input(""Digite a quantidade de reais que deseja converter: ""))
cotacao_dolar = float(input(""Digite a cotação do dólar: ""))

# Chamando a função e exibindo o resultado
resultado = converter_moedas(reais, cotacao_dolar)
print(f""O valor em dólares é: {resultado:.2f}"")"
Um supermercado deseja calcular o valor total das compras de um cliente considerando que ele pode comprar diversos itens e aplicar cupons de desconto. Faça um programa para calcular o total da compra.,"function calcularTotalCompra(itens, cupons) {
  // Inicializa o valor total da compra
  let total = 0;

  // Calcula o valor total dos itens
  itens.forEach(item => {
    total += item.preco * item.quantidade;
  });

  // Aplica os cupons de desconto
  cupons.forEach(cupom => {
    if (cupom.tipo === 'valor') {
      total -= cupom.valor;
    } else if (cupom.tipo === 'percentual') {
      total *= (1 - cupom.valor / 100);
    }
  });

  return total;
}

// Exemplo de uso:
const itens = [
  { nome: 'Maçã', preco: 2.5, quantidade: 3 },
  { nome: 'Banana', preco: 1.8, quantidade: 5 },
  { nome: 'Leite', preco: 4.2, quantidade: 2 }
];

const cupons = [
  { tipo: 'valor', valor: 5 }, // Desconto de R$ 5
  { tipo: 'percentual', valor: 10 } // Desconto de 10%
];

const totalCompra = calcularTotalCompra(itens, cupons);
console.log(""O valor total da compra é:"", totalCompra.toFixed(2));"
"Um sistema de hotelaria precisa registrar reservas de clientes para diferentes tipos de quartos, aplicando descontos especiais para temporadas. Crie um programa que ajude a gerenciar essas reservas.","class Quarto {
    private String tipo;
    private double precoBase;
    private boolean disponivel;

    // Construtor e getters/setters
}

class Reserva {
    private Cliente cliente;
    private Date dataEntrada;
    private Date dataSaida;
    private Quarto quarto;
    private double valorTotal;

    // Construtor e getters/setters
}

class Cliente {
    private String nome;
    private String cpf;
    // Outros dados do cliente
}

class Temporada {
    private Date dataInicio;
    private Date dataFim;
    private double desconto; // Pode ser valor ou porcentagem
}"
"Uma empresa deseja desenvolver um sistema para gerenciar seus funcionários, calculando salários e adicionando bônus dependendo do desempenho. O programa deve ser capaz de gerenciar todas essas funcionalidades.","funcionarios = []

def cadastrar_funcionario():
    nome = input(""Digite o nome do funcionário: "")
    cargo = input(""Digite o cargo: "")
    salario_base = float(input(""Digite o salário base: ""))
    funcionario = {'nome': nome, 'cargo': cargo, 'salario_base': salario_base}
    funcionarios.append(funcionario)

def listar_funcionarios():
    for funcionario in funcionarios:
        print(f""Nome: {funcionario['nome']}, Cargo: {funcionario['cargo']}, Salário: R${funcionario['salario_base']:.2f}"")

while True:
    print(""\n--- Sistema de Gerenciamento de Funcionários ---"")
    print(""1. Cadastrar funcionário"")
    print(""2. Listar funcionários"")
    print(""3. Sair"")
    opcao = input(""Escolha uma opção: "")

    if opcao == '1':
        cadastrar_funcionario()
    elif opcao == '2':
        listar_funcionarios()
    elif opcao == '3':
        break
    else:
        print(""Opção inválida."")"
Crie um programa que calcule o imposto de renda a partir dos dados de renda mensal de uma pessoa.,"def calcular_imposto_renda(renda_mensal):
    """"""Calcula o imposto de renda com base na renda mensal.

    Args:
        renda_mensal (float): Renda mensal do contribuinte.

    Returns:
        float: Valor do imposto de renda.
    """"""

    # Simplificando, vamos usar alíquotas e deduções fictícias.
    # Para valores reais, consulte a tabela da Receita Federal.
    base_calculo = renda_mensal * 12  # Considerando a renda anual

    if base_calculo <= 19039.88:
        imposto = 0
    elif base_calculo <= 28266.55:
        imposto = (base_calculo - 19039.88) * 0.075
    elif base_calculo <= 37510.58:
        imposto = 1425.53 + (base_calculo - 28266.55) * 0.15
    elif base_calculo <= 46646.86:
        imposto = 4257.34 + (base_calculo - 37510.58) * 0.225
    else:
        imposto = 7530.68 + (base_calculo - 46646.86) * 0.275

    return imposto

# Exemplo de uso
renda_mensal = float(input(""Digite sua renda mensal: ""))
imposto = calcular_imposto_renda(renda_mensal)
print(f""O valor do imposto de renda é: R$ {imposto:.2f}"")"
"Um banco precisa simular a concessão de empréstimos para seus clientes, levando em consideração o valor solicitado, as taxas de juros e o prazo de pagamento. Desenvolva um programa para isso.","def calcular_prestacao(valor_emprestimo, taxa_juros, prazo):
  """"""Calcula o valor da prestação de um empréstimo.

  Args:
    valor_emprestimo: O valor total do empréstimo.
    taxa_juros: A taxa de juros mensal.
    prazo: O prazo do empréstimo em meses.

  Returns:
    O valor da prestação mensal.
  """"""

  # Convertendo a taxa de juros anual para mensal
  taxa_juros_mensal = taxa_juros / 12 / 100

  # Calculando o valor da prestação utilizando a fórmula de amortização constante
  prestacao = valor_emprestimo * (taxa_juros_mensal * (1 + taxa_juros_mensal) ** prazo) / ((1 + taxa_juros_mensal) ** prazo - 1)

  return prestacao

# Entrada de dados pelo usuário
valor_emprestimo = float(input(""Digite o valor do empréstimo: ""))
taxa_juros = float(input(""Digite a taxa de juros anual (%): ""))
prazo = int(input(""Digite o prazo do empréstimo em meses: ""))

# Calculando a prestação
prestacao = calcular_prestacao(valor_emprestimo, taxa_juros, prazo)

# Imprimindo o resultado
print(f""O valor da prestação mensal é: R$ {prestacao:.2f}"")"
Crie um programa que calcule a área de uma figura geométrica. O usuário deverá informar os dados necessários.,"import math

def calcular_area(figura):
    if figura == 'triângulo':
        base = float(input(""Informe a base do triângulo: ""))
        altura = float(input(""Informe a altura do triângulo: ""))
        area = (base * altura) / 2
    elif figura == 'retângulo':
        largura = float(input(""Informe a largura do retângulo: ""))
        altura = float(input(""Informe a altura do retângulo: ""))
        area = largura * altura
    elif figura == 'círculo':
        raio = float(input(""Informe o raio do círculo: ""))
        area = math.pi * (raio ** 2)
    else:
        return ""Figura não reconhecida.""
    
    return area

def main():
    figura = input(""Informe a figura geométrica (triângulo, retângulo, círculo): "").strip().lower()
    area = calcular_area(figura)
    print(f""A área do {figura} é: {area}"")

if __name__ == ""__main__"":
    main()"
Desenvolva um programa que determine se um número é par ou ímpar. Considere apenas números inteiros positivos.,"function verificarParOuImpar() {
    // Solicita um número inteiro positivo ao usuário
    let numero = parseInt(prompt(""Informe um número inteiro positivo:""));

    // Verifica se o número é positivo
    if (numero <= 0) {
        alert(""Por favor, informe um número inteiro positivo."");
        return;
    }

    // Determina se o número é par ou ímpar
    if (numero % 2 === 0) {
        alert(""O número "" + numero + "" é par."");
    } else {
        alert(""O número "" + numero + "" é ímpar."");
    }
}

// Chama a função
verificarParOuImpar();"
Crie um algoritmo que simule o lançamento de um dado de seis faces. Considere que o dado é perfeito e que o resultado do lançamento é aleatório.,"import random

def lancar_dado():
    """"""Gera um número aleatório entre 1 e 6, simulando o lançamento de um dado.""""""
    resultado = random.randint(1, 6)
    return resultado

def main():
    print(""Simulador de Lançamento de Dado de 6 Faces"")
    while True:
        # Simula o lançamento do dado
        resultado = lancar_dado()
        print(f""O resultado do lançamento do dado é: {resultado}"")
        
        # Pergunta ao usuário se deseja lançar o dado novamente
        continuar = input(""Deseja lançar o dado novamente? (s/n): "").strip().lower()
        if continuar != 's':
            print(""Obrigado por jogar!"")
            break

if __name__ == ""__main__"":
    main()"
Escreva um programa que calcule o fatorial de um número. O usuário deverá informar o número.,"def calcular_fatorial(n):
    """"""Calcula o fatorial de um número inteiro positivo.""""""
    if n < 0:
        return None  # Fatorial não definido para números negativos
    fatorial = 1
    for i in range(1, n + 1):
        fatorial *= i
    return fatorial

def main():
    while True:
        try:
            numero = int(input(""Informe um número inteiro não negativo para calcular o fatorial: ""))
            if numero < 0:
                print(""Por favor, informe um número não negativo."")
                continue

            resultado = calcular_fatorial(numero)
            print(f""O fatorial de {numero} é: {resultado}"")
            break  # Sai do loop após calcular o fatorial
        except ValueError:
            print(""Entrada inválida. Por favor, insira um número inteiro."")

if __name__ == ""__main__"":
    main()"
